2023-08-02,49.48,MINIMUM
2023-08-02,217.57,FIRST
2023-08-02,267.51,MEDIUM
2023-08-02,356.49,THIRD
2023-08-02,442.64,MAXIMUM
2023-08-03,49.48,MINIMUM
2023-08-03,217.57,FIRST
2023-08-03,267.51,MEDIUM
2023-08-03,356.49,THIRD
2023-08-03,442.64,MAXIMUM
2023-08-04,49.48,MINIMUM
2023-08-04,217.57,FIRST
2023-08-04,267.51,MEDIUM
2023-08-04,356.49,THIRD
2023-08-04,442.64,MAXIMUM
2023-08-05,49.48,MINIMUM
2023-08-05,217.57,FIRST
2023-08-05,267.51,MEDIUM
2023-08-05,356.49,THIRD
2023-08-05,442.64,MAXIMUM
2023-08-06,49.48,MINIMUM
2023-08-06,217.57,FIRST
2023-08-06,267.51,MEDIUM
2023-08-06,356.49,THIRD
2023-08-06,442.64,MAXIMUM
2023-08-07,49.48,MINIMUM
2023-08-07,217.57,FIRST
2023-08-07,267.51,MEDIUM
2023-08-07,356.49,THIRD
2023-08-07,442.64,MAXIMUM
2023-08-08,49.48,MINIMUM
2023-08-08,217.57,FIRST
2023-08-08,267.51,MEDIUM
2023-08-08,356.49,THIRD
2023-08-08,442.64,MAXIMUM
2023-08-09,49.48,MINIMUM
2023-08-09,217.57,FIRST
2023-08-09,267.51,MEDIUM
2023-08-09,356.49,THIRD
2023-08-09,442.64,MAXIMUM
2023-08-10,49.48,MINIMUM
2023-08-10,217.57,FIRST
2023-08-10,267.51,MEDIUM
2023-08-10,356.49,THIRD
2023-08-10,442.64,MAXIMUM
2023-08-11,49.48,MINIMUM
2023-08-11,217.57,FIRST
2023-08-11,267.51,MEDIUM
2023-08-11,356.49,THIRD
2023-08-11,442.64,MAXIMUM
2023-08-12,49.48,MINIMUM
2023-08-12,217.57,FIRST
2023-08-12,267.51,MEDIUM
2023-08-12,356.49,THIRD
2023-08-12,442.64,MAXIMUM
2023-08-13,49.48,MINIMUM
2023-08-13,217.57,FIRST
2023-08-13,267.51,MEDIUM
2023-08-13,356.49,THIRD
2023-08-13,442.64,MAXIMUM
2023-08-14,49.48,MINIMUM
2023-08-14,217.57,FIRST
2023-08-14,267.51,MEDIUM
2023-08-14,356.49,THIRD
2023-08-14,442.64,MAXIMUM
2023-08-15,49.48,MINIMUM
2023-08-15,217.57,FIRST
2023-08-15,267.51,MEDIUM
2023-08-15,356.49,THIRD
2023-08-15,442.64,MAXIMUM
2023-08-16,49.48,MINIMUM
2023-08-16,217.57,FIRST
2023-08-16,267.51,MEDIUM
2023-08-16,356.49,THIRD
2023-08-16,442.64,MAXIMUM
